"id","confidence","support","class_suppport","var_length","levels_length","var_nbr_scaled","levels_nbr_scaled","cond","Ypred","var_used"
1,0.994350282485876,0.580327868852459,0.946524064171123,1,1,0.166666666666667,0.166666666666667,"X[,4] %in% c('n')","'democrat'","V4"
2,1,0.186885245901639,0.483050847457627,3,3,0.5,0.5,"X[,4] %in% c('y') & X[,10] %in% c('y') & X[,11] %in% c('n')","'republican'","V4,V10,V11"
3,1,0.0655737704918033,0.169491525423729,4,4,0.666666666666667,0.666666666666667,"X[,4] %in% c('y') & X[,10] %in% c('n') & X[,11] %in% c('n') & X[,16] %in% c('n')","'republican'","V4,V10,V11,V16"
4,1,0.0229508196721311,0.0593220338983051,5,5,0.833333333333333,0.833333333333333,"X[,4] %in% c('y') & X[,7] %in% c('y') & X[,10] %in% c('n') & X[,11] %in% c('n') & X[,16] %in% c('y')","'republican'","V4,V7,V10,V11,V16"
5,0.818181818181818,0.0360655737704918,0.0932203389830508,5,5,0.833333333333333,0.833333333333333,"X[,4] %in% c('y') & X[,9] %in% c('n') & X[,11] %in% c('y') & X[,13] %in% c('y') & X[,16] %in% c('y')","'republican'","V4,V9,V11,V13,V16"
6,1,0.314754098360656,0.513368983957219,2,2,0.333333333333333,0.333333333333333,"X[,4] %in% c('n') & X[,6] %in% c('n')","'democrat'","V4,V6"
7,1,0.111475409836066,0.181818181818182,3,3,0.5,0.5,"X[,4] %in% c('n') & X[,6] %in% c('y') & X[,14] %in% c('n')","'democrat'","V4,V6,V14"
8,1,0.059016393442623,0.0962566844919786,4,4,0.666666666666667,0.666666666666667,"X[,4] %in% c('n') & X[,6] %in% c('y') & X[,14] %in% c('y') & X[,15] %in% c('y')","'democrat'","V4,V6,V14,V15"
9,1,0.160655737704918,0.415254237288136,4,4,0.666666666666667,0.666666666666667,"X[,1] %in% c('n') & X[,4] %in% c('y') & X[,10] %in% c('y') & X[,11] %in% c('n')","'republican'","V1,V4,V10,V11"
10,1,0.0360655737704918,0.0932203389830508,4,4,0.666666666666667,0.666666666666667,"X[,1] %in% c('y') & X[,3] %in% c('n') & X[,4] %in% c('y') & X[,5] %in% c('y')","'republican'","V1,V3,V4,V5"
11,1,0.039344262295082,0.0641711229946524,5,5,0.833333333333333,0.833333333333333,"X[,4] %in% c('n') & X[,6] %in% c('y') & X[,10] %in% c('n') & X[,14] %in% c('y') & X[,15] %in% c('n')","'democrat'","V4,V6,V10,V14,V15"
12,0.888888888888889,0.0295081967213115,0.076271186440678,5,5,0.833333333333333,0.833333333333333,"X[,1] %in% c('n') & X[,2] %in% c('y') & X[,3] %in% c('n') & X[,4] %in% c('y') & X[,11] %in% c('y')","'republican'","V1,V2,V3,V4,V11"
13,0.909090909090909,0.0360655737704918,0.0588235294117647,6,6,1,1,"X[,4] %in% c('n') & X[,6] %in% c('y') & X[,7] %in% c('y') & X[,10] %in% c('y') & X[,14] %in% c('y') & X[,15] %in% c('n')","'democrat'","V4,V6,V7,V10,V14,V15"
14,1,0.019672131147541,0.0508474576271186,6,6,1,1,"X[,1] %in% c('n') & X[,2] %in% c('n') & X[,4] %in% c('y') & X[,10] %in% c('n') & X[,11] %in% c('n') & X[,16] %in% c('y')","'republican'","V1,V2,V4,V10,V11,V16"
15,1,0.373770491803279,0.609625668449198,2,2,0.333333333333333,0.333333333333333,"X[,4] %in% c('n') & X[,15] %in% c('y')","'democrat'","V4,V15"
16,1,0.118032786885246,0.192513368983957,3,3,0.5,0.5,"X[,4] %in% c('n') & X[,13] %in% c('n') & X[,15] %in% c('n')","'democrat'","V4,V13,V15"
17,0.952380952380952,0.0688524590163934,0.177966101694915,3,3,0.5,0.5,"X[,4] %in% c('y') & X[,11] %in% c('n') & X[,12] %in% c('n')","'republican'","V4,V11,V12"
18,0.75,0.039344262295082,0.101694915254237,3,3,0.5,0.5,"X[,4] %in% c('y') & X[,10] %in% c('y') & X[,11] %in% c('y')","'republican'","V4,V10,V11"
